Rank,Name,Code,Market Cap,Price,1d,Country,Description
1,Apple,AAPL,$2.962 T,$189.46,0.85%,USA,"Apple Inc. is an American hardware and software developer and technology company that develops and sells computers, smartphones and consumer electronics as well as operating systems and application software. Apple also operates internet sales portals for music, films and software."
2,Microsoft,MSFT,$2.441 T,$328.66,0.27%,USA,"Microsoft is an American company that develops and distributes software and services such as: a search engine (Bing), cloud solutions and the computer operating system Windows."
3,Saudi Aramco,2222.SR,$2.252 T,$9.31,0.14%,S. Arabia,Saudi Aramco is the Saudi Arabian national petroleum and natural gas company. As of 2020 it is the largest oil producing company in the world and has the world's second-largest proven crude oil reserves.
4,Alphabet (Google),GOOG,$1.717 T,$136.80,0.40%,USA,"Alphabet Inc. is a listed US holding company of the former Google LLC, which continues to exist as a subsidiary. The headquarters is Mountain View in Silicon Valley. The company is led by Sundar Pichai as CEO.
With sales of $137 billion, a profit of $30.7 billion and a market value of $ 863.2 billion, Alphabet Inc. ranks 17th among the world's largest companies according to Forbes Global 2000 (as of 4th November 2019). The company had a market cap of $ 766.4 billion in early 2018. In 2019, Alphabet had annual sales of $161.9 billion and an annual profit of $34.3 billion."
5,Amazon,AMZN,$1.425 T,$138.12,0.08%,USA,"Amazon.com, Inc. is an American online retailer with a wide range of products. According to its own information, Amazon, as the market leader in Internet trade, has the world's largest selection of books, CDs and videos. Via the integrated sales platform Marketplace, private individuals or other companies can also offer new and used products as part of online trading. The Amazon Kindle is sold under its own brand as a reader for electronic books, the Amazon Fire HD tablet computer, the Fire TV set-top box, the Fire TV Stick HDMI stick and the Echo speech recognition system.
With sales of $280 billion in 2019, a profit of $11.6 billion, and a market value of $1.32 trillion (June 2020), it was the third most valuable after Apple and Microsoft, and even before Google United States company."
6,NVIDIA,NVDA,$1.198 T,$485.09,1.71%,USA,"Nvidia Corporation is one of the largest developers of graphics processors and chipsets for personal computers and game consoles. The head office is in Santa Clara, California. NVIDIA Corporation does not have its own manufacturing facilities and therefore works according to the fabless principle.
The company was founded in January 1993 by Jen-Hsun Huang, Curtis Priem and Chris Malachowsky. In May 1995, Nvidia launched the NV1 (STG-2000), one of the first 3D accelerator processors (GPU). In January 1999, Nvidia was included in the NASDAQ (NVDA) and delivered the ten millionth graphics chip in the same year. In the Forbes Global 2000 of the world's largest companies, Nvidia ranks 572 (as of: 2017 financial year). The company had a market value of approximately US $155 billion in mid-2018."
7,Berkshire Hathaway,BRK-B,$790.24 B,$362.46,0.63%,USA,"Berkshire Hathaway Inc. is an American holding company, whose conglomerate includes over 80 companies with activities spanning a wide range of business areas, including insurance and reinsurance, rail freight, energy supply, financial services, manufacturing, and wholesale and retail. The chairman is the major US investor and multi-billionaire Warren Buffett."
8,Tesla,TSLA,$777.65 B,$245.01,5.06%,USA,"Tesla, Inc. is an American company that manufactures and sells electric cars, as well as power storage and photovoltaic systems. The company's goal is to “accelerate the transition to sustainable energy”. The company name is based on the physicist and inventor Nikola Tesla."
9,Meta Platforms (Facebook),META,$762.63 B,$296.38,0.17%,USA,
10,Eli Lilly,LLY,$528.86 B,$557.11,0.53%,USA,"With over 33,000 employees worldwide, production plants in 13 countries and annual sales of over $22 billion worldwide, Eli Lilly and Company is one of the largest pharmaceutical companies in the world. It was founded in Indianapolis in 1876 by the pharmacologist, officer and entrepreneur Eli Lilly."
11,Visa,V,$516.01 B,$248.11,0.99%,USA,"Visa Inc. is a stock corporation and, alongside Mastercard, one of the two major payment card companies and employed around 14,200 people in 2016. The VISA brand is a recursive acronym and stands for Visa International Service Association."
12,TSMC,TSM,$483.32 B,$93.19,0.41%,Taiwan,"Taiwan Semiconductor Manufacturing Company, Limited is the world's third largest semiconductor manufacturer after Intel and Samsung and the world's largest independent contract manufacturer of semiconductor products. The company was founded in 1987. The headquarters and the main parts of the company are located in Hsinchu, Taiwan."
13,Exxon Mobil,XOM,$452.54 B,$113.52,2.10%,USA,
14,UnitedHealth,UNH,$443.39 B,$476.24,0.07%,USA,
